Semaine,stablecoin: (Allemagne)
2021-10-10,14
2021-10-17,17
2021-10-24,6
2021-10-31,24
2021-11-07,54
2021-11-14,18
2021-11-21,25
2021-11-28,10
2021-12-05,14
2021-12-12,0
2021-12-19,0
2021-12-26,11
2022-01-02,29
2022-01-09,27
2022-01-16,26
2022-01-23,22
2022-01-30,28
2022-02-06,14
2022-02-13,12
2022-02-20,13
2022-02-27,12
2022-03-06,6
2022-03-13,18
2022-03-20,21
2022-03-27,18
2022-04-03,19
2022-04-10,7
2022-04-17,22
2022-04-24,17
2022-05-01,10
2022-05-08,100
2022-05-15,41
2022-05-22,12
2022-05-29,22
2022-06-05,13
2022-06-12,13
2022-06-19,34
2022-06-26,26
2022-07-03,18
2022-07-10,8
2022-07-17,16
2022-07-24,9
2022-07-31,0
2022-08-07,11
2022-08-14,7
2022-08-21,0
2022-08-28,5
2022-09-04,5
2022-09-11,10
2022-09-18,10
2022-09-25,5
2022-10-02,0
