Semaine,stablecoin: (Angleterre)
2021-10-10,14
2021-10-17,27
2021-10-24,23
2021-10-31,17
2021-11-07,16
2021-11-14,13
2021-11-21,17
2021-11-28,15
2021-12-05,22
2021-12-12,7
2021-12-19,0
2021-12-26,0
2022-01-02,26
2022-01-09,27
2022-01-16,16
2022-01-23,8
2022-01-30,20
2022-02-06,7
2022-02-13,8
2022-02-20,19
2022-02-27,16
2022-03-06,23
2022-03-13,24
2022-03-20,18
2022-03-27,5
2022-04-03,40
2022-04-10,31
2022-04-17,17
2022-04-24,21
2022-05-01,13
2022-05-08,100
2022-05-15,42
2022-05-22,23
2022-05-29,31
2022-06-05,13
2022-06-12,26
2022-06-19,22
2022-06-26,13
2022-07-03,10
2022-07-10,29
2022-07-17,13
2022-07-24,13
2022-07-31,6
2022-08-07,10
2022-08-14,20
2022-08-21,8
2022-08-28,7
2022-09-04,11
2022-09-11,16
2022-09-18,0
2022-09-25,18
2022-10-02,0
