Date,Open,High,Low,Close,Volume,Market Cap
Jun-29-2022,0.99995,1,0.9998,0.9999,4115643403.5555553,55797916144.09789
Jun-28-2022,0.99995,1,0.99985,0.99995,3711097651.735192,55798998359.25467
Jun-27-2022,1,1.00005,0.99985,0.99995,3350381207.111111,55800299380.35804
Jun-26-2022,1,1.00005,0.99975,1.00005,2714549722.2222223,55821571301.752525
Jun-25-2022,1,1.00005,0.9999,0.99995,2244632356.888889,55879741482.19439
Jun-24-2022,1,1.0001,0.99975,1.00005,3124866414.6666665,55857624559.09022
Jun-23-2022,0.99995,1.0001,0.99985,0.9999,3738018635.5555553,55728904671.66533
Jun-22-2022,1,1.0001,0.9999,0.99995,3541113052.4444447,55813324695.539986
Jun-21-2022,0.99995,1.0002,0.99975,1.00005,3403324390.2222223,55902449832.300674
Jun-20-2022,0.99995,1.00005,0.9996,0.99995,3825799997.44,55751894515.356544
Jun-19-2022,0.99995,1,0.99965,0.99995,4184623336.888889,55882195598.54903
Jun-18-2022,0.9999,1.00005,0.99985,1,5740911633.777778,55563193017.74849
Jun-17-2022,0.9999,1.00005,0.9998,0.9999,4251657968.888889,55251542289.22494
Jun-16-2022,0.99995,1.00005,0.99975,0.9999,4111992223.111111,54855643101.15322
Jun-15-2022,0.99985,1.00005,0.99985,0.9999,6537799164.41958,54386073502.583855
Jun-14-2022,0.9999,1.00005,0.9998,0.99985,6584093149.333333,54210307681.31297
Jun-13-2022,0.9998,1.00005,0.9995,0.9999,9307996411.508772,54123709488.384865
Jun-12-2022,0.9999,1.00005,0.9998,0.9998,8373654529.79021,54124713674.86821
Jun-11-2022,1,1.00005,0.9999,0.99995,4222162227.5555553,53906446403.83723
Jun-10-2022,1,1.00005,0.9999,0.99995,3207335237.3333335,53854637947.067825
Jun-09-2022,1.00005,1.00005,0.9999,1,2548406424.4444447,53789909845.29372
Jun-08-2022,1,1.00005,0.99995,1.00005,2505492422.063158,53735637428.805595
Jun-07-2022,1,1.00005,0.9999,1,3877721782.9859157,53821707948.34137
Jun-06-2022,0.99995,1.00005,0.9999,0.9999,3320778915.5555553,53749646711.011475
Jun-05-2022,0.9999,1.00005,0.9999,0.99995,2457312653.7777777,53944300207.28731
Jun-04-2022,1,1,0.9999,0.9999,1548634043.5555556,54054470354.17095
Jun-03-2022,0.99995,1,0.9999,0.9999,2137952103.5555556,54077569010.59645
Jun-02-2022,1.0001,1.0001,0.9999,0.99995,2713536680,54063590347.85837
